config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,1,17.068255415780204,0.8280892857142857,0.4027544135397131,0.8578571428571429,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,2,15.946895086015974,0.8765267857142857,0.36752894561399113,0.871,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,3,14.970329515729631,0.8915803571428571,0.34542265724052085,0.8795714285714286,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,4,14.05104131099156,0.9031517857142857,0.337798119133169,0.8827142857142857,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,5,13.18190755190168,0.9099285714285714,0.33203238194639034,0.8822857142857143,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,6,12.357894627162388,0.9161517857142857,0.3253411901945418,0.887,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,7,11.576860897609166,0.9206517857142857,0.3245480025356466,0.8871428571428571,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,8,10.837440520695278,0.9242857142857143,0.3195806328545917,0.8887142857142857,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,9,10.138151105063303,0.9275089285714285,0.3162278865548697,0.8892857142857142,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,10,9.477669018881661,0.9293482142857142,0.3118848662484776,0.8931428571428571,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,11,8.85556519317627,0.9315714285714286,0.3059928081252358,0.8928571428571429,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,12,8.269247896739415,0.9321428571428572,0.30830709168856796,0.8925714285714286,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,13,7.7178302764892575,0.9329821428571429,0.3042794086039066,0.8944285714285715,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,14,7.199843039921352,0.9338303571428571,0.3076723572882739,0.892,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,15,6.715081802368164,0.9338839285714285,0.3072118058123372,0.8915714285714286,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,16,6.2610407725742885,0.9339464285714286,0.3105605432933027,0.8912857142857142,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,17,5.836732601710728,0.9330982142857143,0.30508643889969045,0.8938571428571429,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,18,5.440960455758231,0.93275,0.3100238653746518,0.8927142857142857,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,19,5.0718074212755475,0.9318035714285714,0.3050482840700583,0.8921428571428571,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,20,4.728700484412057,0.9312857142857143,0.3148009728301655,0.8907142857142857,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,21,4.409869365147182,0.9299196428571429,0.30890711044723335,0.8941428571428571,,
fully_supervised_100pct_pretrain,42,he,z_score,flip+jitter,0.001,0.9,22,4.113666342599052,0.9294821428571428,0.314163310487162,0.8895714285714286,0.891,22.0
