config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,1,1.9212016330446515,0.496875,1.242725996537642,0.5571428571428572,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,2,0.9965916218076434,0.6574107142857143,0.7794174779545177,0.731,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,3,0.7290912869998387,0.7363392857142858,0.6579197024757212,0.7572857142857143,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,4,0.6196288277421679,0.7675,0.5889370121739127,0.7852857142857143,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,5,0.5536221522944315,0.795625,0.5466675888408314,0.7997142857142857,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,6,0.5040333368097033,0.8098214285714286,0.5191829334605824,0.8101428571428572,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,7,0.46338536296572,0.83125,0.4982845905152234,0.8212857142857143,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,8,0.4313096465383257,0.8433928571428572,0.4821080348708413,0.8254285714285714,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,9,0.40387101573603496,0.8545535714285715,0.4708185065876354,0.8301428571428572,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,10,0.37939655746732437,0.864375,0.4630971513011239,0.8317142857142857,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,11,0.3582808154821396,0.8739285714285714,0.4549864195964553,0.8375714285714285,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,12,0.3385889460359301,0.8792857142857143,0.4592607392506166,0.8364285714285714,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,13,0.3190490067005157,0.8898214285714285,0.44933457279747185,0.8417142857142857,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,14,0.30131489975111825,0.8957142857142857,0.45724682780829345,0.8391428571428572,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,15,0.2851599405493055,0.9033928571428571,0.44892290451309896,0.8422857142857143,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,16,0.2665392232792718,0.9105357142857143,0.45093341835520484,0.844,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,17,0.2513469010591507,0.9141964285714286,0.4478737957098267,0.8471428571428572,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,18,0.23601074865886143,0.9227678571428571,0.4484273019162091,0.8465714285714285,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,19,0.2208974192397935,0.9273214285714285,0.45243747708472337,0.8444285714285714,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,20,0.20633441712175096,0.9320535714285715,0.45024225440892307,0.8464285714285714,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,21,0.19387535631656647,0.9374107142857143,0.4544661284847693,0.8467142857142858,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,22,0.1809916347690991,0.9441071428571428,0.4603969384323467,0.8451428571428572,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,23,0.16969938831669942,0.9473214285714285,0.47024579860947346,0.8464285714285714,,
+preprocessing,42,normal,z_score,flip+jitter,0.01,0.5,24,0.1582508971435683,0.9507142857142857,0.4781660096211867,0.8417142857142857,0.8507142857142858,24.0
