config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch,sparsity
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,1,5.0073883356366835,0.9972321428571429,0.4589377697218548,0.8664285714285714,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,2,5.004333081926618,0.9980803571428571,0.458699095249176,0.8684285714285714,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,3,5.001479823248727,0.9985714285714286,0.46760032109238886,0.8664285714285714,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,4,4.999228363037109,0.9988392857142857,0.4639019494706934,0.8672857142857143,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,5,4.996861855643136,0.9989732142857143,0.4783026311885227,0.8674285714285714,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,6,4.995066475187029,0.9992410714285714,0.47112946036187087,0.8661428571428571,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,7,4.993024970463344,0.9989732142857143,0.47210187234661793,0.8675714285714285,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,8,4.991187737328666,0.9992857142857143,0.4757087330926548,0.8675714285714285,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,9,4.989215164184571,0.9995982142857143,0.48192988810214127,0.868,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,10,4.987663017000471,0.9996428571428572,0.48326578709212215,0.869,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,11,4.986009558268956,0.9997321428571428,0.4837940106337721,0.8681428571428571,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,12,4.9845699773515975,0.9997767857142857,0.4872075937011025,0.8678571428571429,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,13,4.983122057233538,0.9997321428571428,0.4918621634895151,0.8678571428571429,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,14,4.981795612062727,0.9998214285714285,0.49349292543801393,0.87,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,15,4.980565825871059,0.9997767857142857,0.4969305593859066,0.8692857142857143,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,16,4.979289012636457,0.9998660714285714,0.4975534756075252,0.8705714285714286,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,17,4.978018524987357,0.9998660714285714,0.5015720399943265,0.8677142857142857,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,18,4.976804846354893,0.9999107142857143,0.5025207916443998,0.8688571428571429,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,19,4.975709697178432,0.9999553571428571,0.5028976279226216,0.8678571428571429,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,20,4.974641911642892,0.9999107142857143,0.5051967253739184,0.8671428571428571,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,21,4.973582292284284,0.9999107142857143,0.5053214531053196,0.8685714285714285,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,22,4.972510798318045,0.9999553571428571,0.5091216547922655,0.8685714285714285,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,23,4.971465824672154,0.9999553571428571,0.508373910188675,0.868,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,24,4.970490714481898,0.9998660714285714,0.5158189982175827,0.868,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,25,4.969555354799543,0.9999107142857143,0.5148871997540647,0.8688571428571429,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,26,4.968569037573678,1.0,0.5181628783995454,0.8695714285714286,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,27,4.967636688777379,1.0,0.5198234522884543,0.868,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,28,4.966740823473249,1.0,0.5203062542460182,0.869,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,29,4.965936692101615,1.0,0.52500267570669,0.8697142857142857,,,0.1
+pruning_10pct,1,he,z_score,flip+jitter,0.01,0.04,30,4.965010944093977,1.0,0.5225729526443915,0.868,0.8728571428571429,30.0,0.1
