config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,1,0.7196751664366041,0.7540178571428572,0.5535403779961846,0.809,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,2,0.46457855952637533,0.8372767857142858,0.49492660760879514,0.8255714285714286,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,3,0.390180412701198,0.8636607142857143,0.45784581303596494,0.8384285714285714,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,4,0.34245510271617347,0.8830357142857143,0.4464439848607237,0.8441428571428572,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,5,0.30564077019691466,0.8988392857142857,0.4438843029466542,0.8451428571428572,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,6,0.2754063765704632,0.9082589285714285,0.43182183585383677,0.848,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,7,0.2501176979499204,0.9186607142857143,0.4404148608446121,0.845,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,8,0.22731660340513501,0.9281696428571429,0.42716854499144985,0.8502857142857143,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,9,0.2069543226488999,0.9360267857142858,0.4321243691173467,0.8568571428571429,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,10,0.19065765173307486,0.9414732142857143,0.4286672815680504,0.8527142857142858,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,11,0.17444298122610363,0.9490625,0.43219734078103844,0.8532857142857143,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,12,0.1614172509844814,0.9534375,0.4369969324632125,0.8544285714285714,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,13,0.14744247769670826,0.9602232142857143,0.42998846837065435,0.8561428571428571,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,14,0.13603006880198207,0.9639732142857143,0.43505240069194273,0.858,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,15,0.12500695184937546,0.9682589285714286,0.43592844998294655,0.8602857142857143,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,16,0.11566396505704948,0.9725,0.44367851614952086,0.8572857142857143,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,17,0.10671198096126318,0.9752232142857142,0.4470902934670448,0.8578571428571429,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,18,0.09840438169028078,0.9785267857142858,0.4495020912452178,0.8614285714285714,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,19,0.09147621312311717,0.9812946428571429,0.44905740185217424,0.8594285714285714,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,20,0.08453962280814137,0.9830357142857142,0.4666170885617083,0.8585714285714285,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,21,0.07851122075425727,0.9848660714285714,0.46686272350224584,0.859,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,22,0.0732090272914086,0.9869642857142857,0.46458951952782546,0.8604285714285714,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,23,0.0681305179399039,0.9888839285714286,0.46650811799547887,0.8598571428571429,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,24,0.06373657700738737,0.99,0.47501684386621823,0.8604285714285714,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,25,0.05908829510744129,0.9905803571428572,0.4762550733306191,0.8591428571428571,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,26,0.05526461892894336,0.9912946428571429,0.47589075605977665,0.8602857142857143,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,27,0.05123563591390848,0.99375,0.4825157180428505,0.8638571428571429,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,28,0.04824415954628161,0.9939732142857143,0.4883206283504313,0.8605714285714285,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,29,0.04558135008971606,0.9944196428571429,0.4892187445001169,0.8612857142857143,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,30,0.04229821196092027,0.9954017857142857,0.4935919851064682,0.8602857142857143,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,31,0.04005565055246864,0.9956696428571429,0.49879877147349444,0.8632857142857143,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,32,0.03740865511287536,0.9963392857142858,0.5021233012730425,0.8601428571428571,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,33,0.0352453391599868,0.9969196428571429,0.5058758237145163,0.8624285714285714,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,34,0.033377727645316296,0.9971875,0.5122296602888541,0.8605714285714285,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,35,0.03137595118954778,0.9975892857142857,0.5125499744306911,0.861,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,36,0.02983656944440944,0.9978571428571429,0.5151071998206052,0.8615714285714285,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,37,0.028292144115215967,0.9979464285714286,0.5235737001354044,0.8614285714285714,,
+he_init,12345,he,z_score,flip+jitter,0.01,0.04,38,0.026640103167987296,0.9985267857142858,0.5232682879675519,0.8592857142857143,0.868,38.0
