config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch,sparsity
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,1,5.356802407673427,0.9810714285714286,0.4294829673387788,0.86,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,2,5.342309314182827,0.985625,0.43248290744694795,0.8625714285714285,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,3,5.333105389731271,0.9891517857142857,0.4343972383575006,0.8604285714285714,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,4,5.326053684779576,0.9905357142857143,0.44142407991669397,0.857,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,5,5.3201876027243475,0.9924553571428572,0.44572507427497343,0.862,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,6,5.315066156387329,0.9934375,0.4474267073652961,0.8604285714285714,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,7,5.310868622916085,0.9936160714285714,0.44720752212134274,0.863,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,8,5.306915319987706,0.9950446428571429,0.4497952789068222,0.8612857142857143,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,9,5.303536074502127,0.9953571428571428,0.45283803181214766,0.8602857142857143,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,10,5.3003530611310685,0.9960267857142857,0.45882072191346773,0.86,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,11,5.297514008113316,0.9964285714285714,0.4648489472540942,0.8615714285714285,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,12,5.294866619110107,0.9970089285714285,0.4615445399826223,0.8604285714285714,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,13,5.292529931749616,0.9972321428571429,0.47369242161512376,0.8592857142857143,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,14,5.290432390485491,0.9975892857142857,0.46743426119739356,0.8614285714285714,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,15,5.288347741535731,0.9979910714285715,0.4738010894168507,0.8608571428571429,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,16,5.286460484095982,0.9984821428571429,0.47423814738338643,0.861,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,17,5.284761407034738,0.9985714285714286,0.4786113608967174,0.8621428571428571,,,0.5
+pruning_50pct,12345,he,z_score,flip+jitter,0.01,0.04,18,5.283057368142265,0.9987053571428571,0.47868321429599414,0.8597142857142858,0.8655714285714285,18.0,0.5
