config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch,sparsity
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,1,5.107443250928607,0.9911607142857143,0.4168353267691352,0.8681428571428571,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,2,5.100568571090698,0.9930803571428571,0.41659098240462217,0.87,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,3,5.095625111716134,0.994375,0.4211521563204852,0.8698571428571429,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,4,5.091004332133702,0.9952232142857143,0.4231800217520107,0.8704285714285714,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,5,5.087402291979108,0.9957142857142857,0.42603348764506255,0.8712857142857143,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,6,5.084074194771903,0.9962053571428572,0.42690846527164633,0.8708571428571429,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,7,5.081164196559361,0.996875,0.43097357844764533,0.8711428571428571,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,8,5.077890108653477,0.9975892857142857,0.43803214159878817,0.8708571428571429,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,9,5.075542654309954,0.9980357142857142,0.4353221947496588,0.872,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,10,5.073128420966012,0.9981696428571428,0.44638226425105876,0.8691428571428571,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,11,5.070687879834856,0.9988839285714286,0.44265804331411013,0.8717142857142857,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,12,5.068589060647147,0.9990625,0.4568726440722292,0.8684285714285714,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,13,5.066982209341867,0.9989285714285714,0.44655888297341084,0.8717142857142857,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,14,5.065053127833775,0.9989732142857143,0.457208467613567,0.8695714285714286,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,15,5.063351384571621,0.9992410714285714,0.4558723895387216,0.8717142857142857,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,16,5.061765917369297,0.9995982142857143,0.4512860921296206,0.8705714285714286,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,17,5.060349484852382,0.9995535714285714,0.4557876603169875,0.871,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,18,5.058823840277536,0.9996428571428572,0.4607510435310277,0.872,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,19,5.057519505364554,0.9996428571428572,0.4631155473264781,0.8702857142857143,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,20,5.056352762494768,0.9997767857142857,0.4621881449764425,0.8715714285714286,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,21,5.055167574201311,0.9998214285714285,0.47054232941432433,0.8711428571428571,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,22,5.053978519439697,0.9998660714285714,0.4674509510397911,0.873,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,23,5.0529117665972025,0.9999107142857143,0.4688786193728447,0.8727142857142857,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,24,5.051879301071167,0.9999553571428571,0.4772436937147921,0.8714285714285714,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,25,5.050889630998884,0.9998660714285714,0.4789962815967473,0.8717142857142857,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,26,5.049903484072004,0.9999107142857143,0.4803985278714787,0.8722857142857143,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,27,5.049001846313477,1.0,0.4804175983775746,0.873,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,28,5.048156458990914,0.9999553571428571,0.4825227745554664,0.8725714285714286,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,29,5.047268927437918,0.9999553571428571,0.48471063619310206,0.872,,,0.25
+pruning_25pct,123,he,z_score,flip+jitter,0.01,0.04,30,5.046448458262852,1.0,0.4908734688704664,0.87,0.8825714285714286,30.0,0.25
