config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,1,7.710292245756905,0.7478728432994564,0.5740133120255037,0.7974285714285714,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,2,7.378300315928909,0.8454266130938313,0.5232468938285654,0.8178571428571428,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,3,7.2615762170755636,0.8692389506026944,0.5041450222784822,0.8207142857142857,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,4,7.1704018538852905,0.8854289766012763,0.49743122187527744,0.829,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,5,7.092095826706796,0.8995509335854408,0.48741859847849067,0.8302857142857143,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,6,7.021487178442613,0.9077050342708579,0.4877931147813797,0.833,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,7,6.952688299934819,0.9153864334672654,0.4780928366563537,0.8344285714285714,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,8,6.888022228456893,0.922536043488537,0.4748052429069172,0.838,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,9,6.825874967395134,0.9296265658236823,0.4683009597388181,0.8405714285714285,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,10,6.767178560652823,0.9364216497281966,0.4785715035416863,0.8391428571428572,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,11,6.709566630957261,0.9402623493264004,0.4769225218079307,0.8391428571428572,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,12,6.652726538676136,0.9459347671945166,0.4726782733743841,0.8402857142857143,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,13,6.596945051877004,0.9494209406759632,0.47346486760811374,0.844,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,14,6.542600286231851,0.9548570077995746,0.48001805259422825,0.8435714285714285,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,15,6.489238650843782,0.9571023398723706,0.47292624535885724,0.843,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,16,6.438936094967824,0.9598203734341764,0.4790306714448062,0.8412857142857143,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,17,6.386842114070676,0.9640746868352635,0.4847778545184569,0.843,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,18,6.336312817627529,0.9653746159300401,0.4870409640398892,0.8412857142857143,,
+gssl95,42,he,z_score,flip+jitter,0.001,0.9,19,6.285988102319106,0.9691562278421177,0.492596986618909,0.8394285714285714,0.8484285714285714,19.0
