config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,1,7.647745109883017,0.7703016241299304,0.5747120253064416,0.8008571428571428,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,2,7.336806495859044,0.8535321123562225,0.5369025487791408,0.8151428571428572,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,3,7.220798126906627,0.8735745668164091,0.50948198126121,0.8217142857142857,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,4,7.126880704416462,0.8860640766154909,0.4996847154064612,0.825,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,5,7.043324115524532,0.8974675420842178,0.476488138328899,0.8358571428571429,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,6,6.963336797166698,0.9074887693143111,0.48452040390534834,0.8318571428571429,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,7,6.889588365043376,0.914597423112998,0.4870160008018667,0.8348571428571429,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,8,6.818865765532484,0.9217060769116848,0.48147168078205804,0.8355714285714285,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,9,6.749479776677273,0.9264945450955225,0.4795003788037734,0.8377142857142857,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,10,6.683677435673374,0.9299007750407267,0.4834347734397108,0.8371428571428572,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,11,6.6173351254748995,0.9363183097200968,0.4838357688351111,0.8351428571428572,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,12,6.554964728911968,0.9410574122525547,0.4863093680956147,0.8354285714285714,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,13,6.491168211687251,0.9456977834822531,0.48309271511706436,0.841,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,14,6.429929260951863,0.9483635286567607,0.4905600593848662,0.8362857142857143,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,15,6.369365249898531,0.9511280051340277,0.49585659829053014,0.8351428571428572,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,16,6.308660224409134,0.9545836007306117,0.4902134055441076,0.8392857142857143,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,17,6.249346035136034,0.9571012489509799,0.5085226717320356,0.8334285714285714,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,18,6.19224826770626,0.9584341215382337,0.48568367267196827,0.8417142857142857,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,19,6.13540873542569,0.9605568445475638,0.4969491850246083,0.8368571428571429,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,20,6.078620516539372,0.9633213210248309,0.4995915221897039,0.839,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,21,6.021829812684646,0.9668262822727945,0.510840515927835,0.8342857142857143,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,22,5.96676214109836,0.9668756479241744,0.50700531845743,0.836,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,23,5.912698571238232,0.9698375870069605,0.5087892154400999,0.8365714285714285,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,24,5.857904404119738,0.9717134817593918,0.5060033479874785,0.8381428571428572,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,25,5.805317860672527,0.9722565039245693,0.5185436777093194,0.8375714285714285,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,26,5.752411983742699,0.9734412795576838,0.5111928574063561,0.8384285714285714,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,27,5.698909533888759,0.9756133682183936,0.5116888025944883,0.8392857142857143,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,28,5.646101516880072,0.9773905316680653,0.5090013722127135,0.8435714285714285,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,29,5.594615235313632,0.9785753073011798,0.510345500165766,0.8387142857142857,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,30,5.544059720325169,0.9801056424939527,0.5199553327126937,0.8408571428571429,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,31,5.493678354690504,0.9811423211729279,0.5130709542469545,0.8417142857142857,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,32,5.4428550527674915,0.9820309028977637,0.5222029209136962,0.841,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,33,5.392889528244452,0.9827713876684603,0.5244312027638609,0.8392857142857143,,
+gssl70,42,he,z_score,flip+jitter,0.001,0.9,34,5.344750132094422,0.9842029915584736,0.5289010127837007,0.8388571428571429,0.844,34.0
