config,seed,weight_init,normalization,augmentations,lr,momentum,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,converged_epoch,sparsity
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,1,5.08235524722508,0.9967857142857143,0.49750746326013046,0.8652857142857143,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,2,5.0781135395595,0.9971875,0.4946517136963931,0.8635714285714285,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,3,5.075060209546771,0.9978571428571429,0.49649327939206905,0.8642857142857143,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,4,5.072305728367397,0.9982589285714286,0.5028783543543383,0.865,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,5,5.069721370424543,0.9985267857142858,0.5095388775522058,0.866,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,6,5.0676871803828645,0.9989285714285714,0.5181085697629235,0.8655714285714285,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,7,5.06566385269165,0.9991964285714285,0.5187667799266902,0.865,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,8,5.063862363270351,0.9993303571428571,0.5174815844405781,0.866,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,9,5.062273295266288,0.9994642857142857,0.5187117346308449,0.8634285714285714,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,10,5.060817621776036,0.9996428571428572,0.525848809291016,0.8648571428571429,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,11,5.059060678482056,0.9997767857142857,0.5267767123200676,0.8668571428571429,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,12,5.0576540442875455,0.9999553571428571,0.5326363115148111,0.8644285714285714,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,13,5.056457281112671,0.9998214285714285,0.5332420227202502,0.8632857142857143,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,14,5.055353306361607,0.9997767857142857,0.5345199849117886,0.8654285714285714,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,15,5.054053299767631,0.9999107142857143,0.5431269744580443,0.8651428571428571,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,16,5.052966597420829,0.9999107142857143,0.5422184108333155,0.8664285714285714,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,17,5.051949863433838,1.0,0.5481283331459219,0.8651428571428571,,,0.25
+pruning_25pct,42,he,z_score,flip+jitter,0.01,0.04,18,5.050916391100202,0.9999107142857143,0.5496975148266012,0.8634285714285714,0.8708571428571429,18.0,0.25
